Year,File Name,Collected,Archived,Not Archived,archive.org,archive-it.org,archive.org U archive-it.org,archive.org & archive-it.org,archive.today,stanford,archive.uk,arquivo,perma,others U,not in IA but in others,IA U - others U,others U - IA U,IA U & others U,Error Occurred
1999,1999-01-09.txt,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000-11-21.txt,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2001-04-21.txt,82,18,64,18,5,18,5,1,6,0,0,0,7,0,11,0,7,0
2002,2002-01-01.txt,93,8,85,8,1,8,1,0,0,0,0,0,0,0,8,0,0,0
2003,2003-05-19.txt,127,25,102,24,6,24,6,0,1,0,0,0,1,1,24,1,0,0
2004,2004-01-03.txt,140,16,124,15,7,15,7,0,4,0,0,0,4,1,12,1,3,0
2005,2005-01-15.txt,165,44,121,43,3,43,3,0,3,0,0,0,3,1,41,1,2,0
2006,2006-05-02.txt,154,28,126,27,4,27,4,0,5,0,0,0,5,1,23,1,4,0
2007,2007-02-17.txt,164,24,140,24,6,24,6,0,3,0,0,0,3,0,21,0,3,0
2008,2008-01-04.txt,157,25,132,25,5,25,5,0,1,0,0,0,1,0,24,0,1,0
2009,2009-06-22.txt,149,32,117,31,4,31,4,2,2,0,0,0,3,1,29,1,2,0
2010,2010-04-05.txt,193,132,61,132,10,132,10,0,2,0,1,0,3,0,129,0,3,0
2011,2011-04-01.txt,236,70,166,70,6,70,6,1,4,0,0,0,5,0,65,0,5,0
2012,2012-01-18.txt,242,119,123,118,13,118,13,0,3,0,1,0,4,1,115,1,3,0
2013,2013-01-02.txt,259,230,29,230,0,230,0,0,12,0,1,0,13,0,217,0,13,0
2014,2014-02-09.txt,178,85,93,85,0,85,0,0,0,0,1,0,1,0,84,0,1,0
2015,2015-02-10.txt,171,144,27,144,1,144,1,1,0,0,2,0,2,0,142,0,2,0
2016,2016-03-29.txt,181,94,87,94,0,94,0,1,0,0,4,0,5,0,89,0,5,0
2017,2017-01-11.txt,220,218,2,218,1,218,1,2,0,0,1,0,2,0,216,0,2,0
2018,2018-01-13.txt,182,176,6,176,0,176,0,0,0,0,0,0,0,0,176,0,0,0
2019,2019-01-29.txt,177,153,24,153,0,153,0,1,0,0,4,0,5,0,148,0,5,0
2020,2020-02-28.txt,345,200,145,200,0,200,0,1,0,0,5,0,6,0,194,0,6,0
2021,2021-03-07.txt,340,295,45,295,29,295,29,5,0,0,9,0,13,0,282,0,13,0
2022,2022-01-28.txt,133,133,0,133,55,133,55,16,0,0,8,2,22,0,111,0,22,0
